Título,Ano,Nota IMDb,Link,Gêneros,Sinopse,Elenco Principal
Um Sonho de Liberdade,1994,9.3,https://www.imdb.com/pt/title/tt0111161/?ref_=chttp_i_1,N/A,"Dois homens presos se reúnem ao longo de vários anos, encontrando consolo e eventual redenção através de atos de decência comum.","Tim Robbins, Morgan Freeman, Bob Gunton"
O Poderoso Chefão,1972,9.2,https://www.imdb.com/pt/title/tt0068646/?ref_=chttp_i_2,N/A,O patriarca idoso de uma dinastia do crime organizado transfere o controle de seu império clandestino para seu filho relutante.,"Marlon Brando, Al Pacino, James Caan"
Batman: O Cavaleiro das Trevas,2008,9.1,https://www.imdb.com/pt/title/tt0468569/?ref_=chttp_i_3,N/A,"Agora com a ajuda do tenente Jim Gordon e do promotor público Harvey Dent, Batman tem tudo para banir o crime de Gotham City de uma vez por todas. Mas em breve, os três serão vítimas do Coringa, que pretende lançar Gotham em uma anarquia.","Christian Bale, Heath Ledger, Aaron Eckhart"
O Poderoso Chefão: Parte II,1974,9.0,https://www.imdb.com/pt/title/tt0071562/?ref_=chttp_i_4,N/A,"O início da vida e da carreira de Vito Corleone na década de 1920 em Nova York, enquanto seu filho, Michael, expande e fortalece seu controle sobre o sindicato do crime.","Al Pacino, Robert De Niro, Robert Duvall"
12 Homens e uma Sentença,1957,9.0,https://www.imdb.com/pt/title/tt0050083/?ref_=chttp_i_5,N/A,"O julgamento de um assassinato em Nova Iorque é frustrado por um único membro, cujo ceticismo força o júri a considerar cuidadosamente as evidências antes de dar o veredito.","Henry Fonda, Lee J. Cobb, Martin Balsam"
O Senhor dos Anéis: O Retorno do Rei,2003,9.0,https://www.imdb.com/pt/title/tt0167260/?ref_=chttp_i_6,N/A,Gandalf e Aragorn lideram o Mundo dos Homens contra o exército de Sauron para desviar o olhar de Frodo e Sam quando eles se aproximam á Montanha da Perdição com o Um Anel.,"Elijah Wood, Viggo Mortensen, Ian McKellen"
A Lista de Schindler,1993,9.0,https://www.imdb.com/pt/title/tt0108052/?ref_=chttp_i_7,N/A,"Na Polônia ocupada pelos alemães durante a Segunda Guerra Mundial, o industrial Oskar Schindler começa a se preocupar com seus trabalhadores judeus depois de testemunhar sua perseguição pelos nazistas.","Liam Neeson, Ralph Fiennes, Ben Kingsley"
Pulp Fiction: Tempo de Violência,1994,8.8,https://www.imdb.com/pt/title/tt0110912/?ref_=chttp_i_8,N/A,"As vidas de dois assassinos da máfia, um boxeador, um gângster e sua esposa, e um par de bandidos se entrelaçam em quatro histórias de violência e redenção.","John Travolta, Uma Thurman, Samuel L. Jackson"
O Senhor dos Anéis: A Sociedade do Anel,2001,8.9,https://www.imdb.com/pt/title/tt0120737/?ref_=chttp_i_9,N/A,Um manso hobbit do Condado e oito companheiros partem em uma jornada para destruir o poderoso Um Anel e salvar a Terra-média das Trevas.,"Elijah Wood, Ian McKellen, Orlando Bloom"
Três Homens em Conflito,1966,8.8,https://www.imdb.com/pt/title/tt0060196/?ref_=chttp_i_10,N/A,Um impostor se junta com dois homens para encontrar fortuna num remoto cemitério.,"Clint Eastwood, Eli Wallach, Lee Van Cleef"
Forrest Gump: O Contador de Histórias,1994,8.8,https://www.imdb.com/pt/title/tt0109830/?ref_=chttp_i_11,N/A,"Os governos dos presidentes Kennedy e Johnson, os eventos do Vietnã e Watergate e outras histórias são mostradas através da perspectiva de um homem do Alabama com baixo quociente intelectual.","Tom Hanks, Robin Wright, Gary Sinise"
O Senhor dos Anéis: As Duas Torres,2002,8.8,https://www.imdb.com/pt/title/tt0167261/?ref_=chttp_i_12,N/A,"Enquanto Frodo e Sam estão perto de Mordor com a ajuda de Gollum, a divida comunhão luta contra Saruman e os Isengards.","Elijah Wood, Ian McKellen, Viggo Mortensen"
Clube da Luta,1999,8.8,https://www.imdb.com/pt/title/tt0137523/?ref_=chttp_i_13,N/A,Um trabalhador de escritório e um fabricante de sabonetes formam um clube de luta clandestino que evolui para algo muito maior.,"Brad Pitt, Edward Norton, Meat Loaf"
A Origem,2010,8.8,https://www.imdb.com/pt/title/tt1375666/?ref_=chttp_i_14,N/A,Um ladrão que rouba segredos corporativos através da tecnologia de entrar no subconsciente recebe a tarefa inversa de plantar uma idéia na mente do diretor de uma grande empresa.,"Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page"
Star Wars: Episódio V - O Império Contra-Ataca,1980,8.7,https://www.imdb.com/pt/title/tt0080684/?ref_=chttp_i_15,N/A,"Depois que a Aliança Rebelde é dominada pelo Império, Luke Skywalker começa seu treinamento Jedi com Yoda, enquanto seus amigos são perseguidos por toda a galáxia por Darth Vader e pelo caçador de recompensas Boba Fett.","Mark Hamill, Harrison Ford, Carrie Fisher"
Matrix,1999,8.7,https://www.imdb.com/pt/title/tt0133093/?ref_=chttp_i_16,N/A,Um hacker aprende com os misteriosos rebeldes sobre a verdadeira natureza de sua realidade e seu papel na guerra contra seus controladores.,"Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss"
Os Bons Companheiros,1990,8.7,https://www.imdb.com/pt/title/tt0099685/?ref_=chttp_i_17,N/A,"A historia do Henry Hill e sua vida na máfia, sua relação com sua esposa Karen Hill e seus colegas da máfia Jimmy Conway e Tommy DeVito no sindicato italo-americano do crime.","Robert De Niro, Ray Liotta, Joe Pesci"
Interestelar,2014,8.7,https://www.imdb.com/pt/title/tt0816692/?ref_=chttp_i_18,N/A,"Uma equipe de exploradores viaja através de um buraco de minhoca no espaço, na tentativa de garantir a sobrevivência da humanidade.","Matthew McConaughey, Anne Hathaway, Jessica Chastain"
Um Estranho no Ninho,1975,8.7,https://www.imdb.com/pt/title/tt0073486/?ref_=chttp_i_19,N/A,"Um criminoso alega insanidade para ser enviado a um centro de saúde mental, onde se rebela contra a opressiva enfermeira e mobiliza os pacientes a quem ela atemoriza.","Jack Nicholson, Louise Fletcher, Michael Berryman"
Seven - Os Sete Crimes Capitais,1995,8.6,https://www.imdb.com/pt/title/tt0114369/?ref_=chttp_i_20,N/A,"Dois detetives, um novato e um veterano, perseguem um assassino em série que usa os sete pecados capitais como motivos.","Morgan Freeman, Brad Pitt, Kevin Spacey"
A Felicidade Não se Compra,1946,8.6,https://www.imdb.com/pt/title/tt0038650/?ref_=chttp_i_21,N/A,"Um anjo é enviado dos céus para ajudar um homem de negócios desesperado em sua frustração, e mostra a ele como seria a vida se nunca tivesse existido.","James Stewart, Donna Reed, Lionel Barrymore"
O Silêncio dos Inocentes,1991,8.6,https://www.imdb.com/pt/title/tt0102926/?ref_=chttp_i_22,N/A,"Uma jovem deve receber a ajuda de um assassino canibal manipulador e preso para ajudar a capturar outro assassino em série, um louco que ataca suas vítimas.","Jodie Foster, Anthony Hopkins, Scott Glenn"
Os Sete Samurais,1954,8.6,https://www.imdb.com/pt/title/tt0047478/?ref_=chttp_i_23,N/A,Uma aldeia pobre sob a ameaça de bandidos recruta sete samurais para ajudá-los a se defenderem.,"Toshirô Mifune, Takashi Shimura, Keiko Tsushima"
O Resgate do Soldado Ryan,1998,8.6,https://www.imdb.com/pt/title/tt0120815/?ref_=chttp_i_24,N/A,"Depois de chegar a Normandía, um grupo de soldados precisa encontrar o único irmão vivo de três que morreram na guerra.","Tom Hanks, Matt Damon, Tom Sizemore"
À Espera de um Milagre,1999,8.6,https://www.imdb.com/pt/title/tt0120689/?ref_=chttp_i_25,N/A,"As vidas dos guardas de corredor da morte são afetadas por um dos detidos: um homem afro-americano acusado pelo assassinato e estupro de uma criança, mas com um presente misterioso.","Tom Hanks, Michael Clarke Duncan, David Morse"
Cidade de Deus,2002,8.6,https://www.imdb.com/pt/title/tt0317248/?ref_=chttp_i_26,N/A,"Os caminhos de duas crianças divergem nas favelas do Rio, enquanto um se esforça para se tornar um fotógrafo e o outro um chefe do tráfico.","Alexandre Rodrigues, Leandro Firmino, Matheus Nachtergaele"
A Vida é Bela,1997,8.6,https://www.imdb.com/pt/title/tt0118799/?ref_=chttp_i_27,N/A,"Quando um bibliotecário judeu e seu filho se tornarem vítimas do Holocausto, ele usará uma mistura perfeita de vontade, humor e imaginação para proteger seu filho dos perigos do campo de concentração.","Roberto Benigni, Nicoletta Braschi, Giorgio Cantarini"
O Exterminador do Futuro 2: O Julgamento Final,1991,8.6,https://www.imdb.com/pt/title/tt0103064/?ref_=chttp_i_28,N/A,"Um ciborgue, idêntico ao que falhou em matar Sarah Connor, agora deve proteger o filho de dez anos dela, John, de um ciborgue ainda mais avançado e poderoso.","Arnold Schwarzenegger, Linda Hamilton, Edward Furlong"
Star Wars: Episódio IV - Uma Nova Esperança,1977,8.6,https://www.imdb.com/pt/title/tt0076759/?ref_=chttp_i_29,N/A,"Luke Skywalker une forças com um cavaleiro Jedi, um piloto arrogante, um Wookiee e dois andróides para salvar a galáxia da estação de batalha destruidora do Império, enquanto tenta resgatar a Princesa Leia do misterioso Darth Vader.","Mark Hamill, Harrison Ford, Carrie Fisher"
De Volta para o Futuro,1985,8.5,https://www.imdb.com/pt/title/tt0088763/?ref_=chttp_i_30,N/A,"Marty McFly viaja para 1955 com a máquina do tempo do cientista Dr. Brown. Ele deve garantir que seus pais se apaixonem, para não arriscar sua própria existência.","Michael J. Fox, Christopher Lloyd, Lea Thompson"
A Viagem de Chihiro,2001,8.6,https://www.imdb.com/pt/title/tt0245429/?ref_=chttp_i_31,N/A,"Uma garota é obrigada a mudar de cidade com seus pais contra a sua vontade. Durante a viagem, eles decidem pegar um atalho e se perdem, chegando a um estranho edifício, onde adentrarão um misterioso mundo de monstros e espíritos.","Daveigh Chase, Suzanne Pleshette, Miyu Irino"
O Pianista,2002,8.5,https://www.imdb.com/pt/title/tt0253474/?ref_=chttp_i_32,N/A,Um musico judeu luta para sobreviver a destruição de Varsóvia durante a segunda guerra mundial.,"Adrien Brody, Thomas Kretschmann, Frank Finlay"
Gladiador,2000,8.5,https://www.imdb.com/pt/title/tt0172495/?ref_=chttp_i_33,N/A,Um general romano planeja a melhor vingança contra o imperador corrupto que matou sua familia e o fez escravo.,"Russell Crowe, Joaquin Phoenix, Connie Nielsen"
Parasita,2019,8.5,https://www.imdb.com/pt/title/tt6751668/?ref_=chttp_i_34,N/A,"Desempregados, a família de Ki-taek (Song Kang-ho) nutre um interesse peculiar pela família Park até que eles se veem presos em um inesperado incidente.","Song Kang-ho, Lee Sun-kyun, Cho Yeo-jeong"
Psicose,1960,8.5,https://www.imdb.com/pt/title/tt0054215/?ref_=chttp_i_35,N/A,"Uma secretária de Phoenix desvia dinheiro de um cliente de sua empresa, foge e vai a um motel remoto gerido por um jovem sob o domínio da mãe.","Anthony Perkins, Janet Leigh, Vera Miles"
O Rei Leão,1994,8.5,https://www.imdb.com/pt/title/tt0110357/?ref_=chttp_i_36,N/A,Um pequeno lion é obrigado por seu tío a fugir de casa e anos depois se da conta da sua identidade e suas responsabilidades.,"Matthew Broderick, Jeremy Irons, James Earl Jones"
Túmulo dos Vagalumes,1988,8.5,https://www.imdb.com/pt/title/tt0095327/?ref_=chttp_i_37,N/A,Um menino e sua irmã tentam sobreviver no Japão durante a Segunda Guerra Mundial.,"Tsutomu Tatsumi, Ayano Shiraishi, Akemi Yamaguchi"
Os Infiltrados,2006,8.5,https://www.imdb.com/pt/title/tt0407887/?ref_=chttp_i_38,N/A,Um policial disfarçado e um espião estão tentando se identificar enquanto se infiltram em uma gangue irlandesa no sul de Boston.,"Leonardo DiCaprio, Matt Damon, Jack Nicholson"
Whiplash: Em Busca da Perfeição,2014,8.5,https://www.imdb.com/pt/title/tt2582802/?ref_=chttp_i_39,N/A,Um jovem e promissor baterista se matricula em um conservatório de música onde seus sonhos são guiados por um instrutor que não pára por nada para perceber o potencial de um aluno.,"Miles Teller, J.K. Simmons, Melissa Benoist"
Harakiri,1962,8.6,https://www.imdb.com/pt/title/tt0056058/?ref_=chttp_i_40,N/A,"Um velho samurai ronin chega à casa de um senhor feudal e pede um lugar honroso para cometer suicídio. Mas quando o ronin pede um samurai mais jovem que chegou antes, os eventos seguem um curso inesperado.","Tatsuya Nakadai, Akira Ishihama, Shima Iwashita"
O Grande Truque,2006,8.5,https://www.imdb.com/pt/title/tt0482571/?ref_=chttp_i_41,N/A,"Depois de um trágico acidente, dois magos do palco se engajam em uma batalha para criar a ilusão final enquanto sacrificam tudo o que têm para enganar um ao outro.","Christian Bale, Hugh Jackman, Scarlett Johansson"
A Outra História Americana,1998,8.5,https://www.imdb.com/pt/title/tt0120586/?ref_=chttp_i_42,N/A,Um neonazista tenta evitar que seu irmão mais novo tome o mesmo caminho errado que ele.,"Edward Norton, Edward Furlong, Beverly D'Angelo"
O Profissional,1994,8.5,https://www.imdb.com/pt/title/tt0110413/?ref_=chttp_i_43,N/A,"Mathilda, uma menina de 12 anos é levada por Léon, um assassino profissional, depois que sua família é assassinada. Léon e Mathilda formam uma relação incomum, desde que ela se torna sua protegida.","Jean Reno, Gary Oldman, Natalie Portman"
Homem-Aranha: Através do Aranhaverso,2023,8.5,https://www.imdb.com/pt/title/tt9362722/?ref_=chttp_i_44,N/A,"Viajando pelo multiverso, Miles Morales conhece um novo time de Pessoas-Aranha, formado por heróis de diversas dimensões. Mas quando os heróis entram em conflito sobre como lidar com uma nova ameaça, Miles se vê em um impasse.","Shameik Moore, Hailee Steinfeld, Brian Tyree Henry"
Casablanca,1942,8.5,https://www.imdb.com/pt/title/tt0034583/?ref_=chttp_i_45,N/A,O proprietário cético de uma boate protege um antigo amor e seu marido dos nazistas no Marrocos.,"Humphrey Bogart, Ingrid Bergman, Paul Henreid"
Cinema Paradiso,1988,8.5,https://www.imdb.com/pt/title/tt0095765/?ref_=chttp_i_46,N/A,"Um diretor de cinema lembra como, em sua infância, ele se apaixonou pelo cinema de sua cidade e iniciou uma profunda amizade com o projecionista.","Philippe Noiret, Enzo Cannavale, Antonella Attili"
Os Suspeitos,1995,8.5,https://www.imdb.com/pt/title/tt0114814/?ref_=chttp_i_47,N/A,"O único sobrevivente conta os torcidos eventos duma luta com pistolas num bote, quanfo cinco criminais eram levados pela polícia.","Kevin Spacey, Gabriel Byrne, Chazz Palminteri"
Intocáveis,2011,8.5,https://www.imdb.com/pt/title/tt1675434/?ref_=chttp_i_48,N/A,"Depois de ficar tetraplégico num acidente, um aristocrata contrata um jovem de um bairro pobre para cuidar dele.","François Cluzet, Omar Sy, Anne Le Ny"
Alien - O 8º Passageiro,1979,8.5,https://www.imdb.com/pt/title/tt0078748/?ref_=chttp_i_49,N/A,"Depois de investigar uma transmissão misteriosa de origem desconhecida, a tripulação de uma nave espacial comercial encontra uma forma de vida mortal.","Sigourney Weaver, Tom Skerritt, John Hurt"
Tempos Modernos,1936,8.5,https://www.imdb.com/pt/title/tt0027977/?ref_=chttp_i_50,N/A,Um vagabundo luta para viver na sociedade industrial moderna com a ajuda de uma jovem.,"Charles Chaplin, Paulette Goddard, Henry Bergman"
Janela Indiscreta,1954,8.5,https://www.imdb.com/pt/title/tt0047396/?ref_=chttp_i_51,N/A,Um fotógrafo em uma cadeira de rodas espiona seus vizinhos pela janela de seu apartamento e está convencido de que um deles cometeu um assassinato.,"James Stewart, Grace Kelly, Wendell Corey"
Django Livre,2012,8.5,https://www.imdb.com/pt/title/tt1853728/?ref_=chttp_i_52,N/A,"Com a ajuda de um caçador de recompensas alemão, um escravo libertado sai para resgatar sua esposa de um brutal dono de uma plantação no Mississipi.","Jamie Foxx, Christoph Waltz, Leonardo DiCaprio"
Era uma Vez no Oeste,1968,8.5,https://www.imdb.com/pt/title/tt0064116/?ref_=chttp_i_53,N/A,Um misterioso estranho se junta com um bandido para proteger a uma viúva.,"Henry Fonda, Charles Bronson, Claudia Cardinale"
Luzes da Cidade,1931,8.5,https://www.imdb.com/pt/title/tt0021749/?ref_=chttp_i_54,N/A,"Com a ajuda de um homem rico, bêbado e imprevisível, um vagabundo ingênuo que se apaixonou por uma florista cega tenta conseguir dinheiro para fornecer ajuda médica.","Charles Chaplin, Virginia Cherrill, Florence Lee"
Apocalypse Now,1979,8.4,https://www.imdb.com/pt/title/tt0078788/?ref_=chttp_i_55,N/A,Um oficial do exército dos Estados Unidos no Vietnã é encarregado de assassinar a um coronel que acredita ser um deus.,"Martin Sheen, Marlon Brando, Robert Duvall"
WALL·E,2008,8.4,https://www.imdb.com/pt/title/tt0910970/?ref_=chttp_i_56,N/A,"Num futuro distante, um pequeno robô faz uma viagem que decidirá o destino da humanidade.","Ben Burtt, Elissa Knight, Jeff Garlin"
Amnésia,2000,8.4,https://www.imdb.com/pt/title/tt0209144/?ref_=chttp_i_57,N/A,Um homem com perda da memória de curto prazo tenta investigar o homicídio da sua esposa.,"Guy Pearce, Carrie-Anne Moss, Joe Pantoliano"
Duna: Parte 2,2024,8.5,https://www.imdb.com/pt/title/tt15239678/?ref_=chttp_i_58,N/A,"Diante da difícil escolha entre o amor de sua vida e o destino do universo conhecido, Paul Atreides, agora ao lado de Chani e dos Fremen, dará tudo de si para evitar o futuro terrível que só ele pode prever.","Timothée Chalamet, Zendaya, Rebecca Ferguson"
Os Caçadores da Arca Perdida,1981,8.4,https://www.imdb.com/pt/title/tt0082971/?ref_=chttp_i_59,N/A,"Em 1936 o archeologista e aventurero Indiana Jones é contratado pelo governo dos Estados Unidos para procurar pelo Pacto da Arca, antes que os nazis o tenham primeiro.","Harrison Ford, Karen Allen, Paul Freeman"
Vingadores: Guerra Infinita,2018,8.4,https://www.imdb.com/pt/title/tt4154756/?ref_=chttp_i_60,N/A,Os Vingadores e seus aliados deverão sacrificar tudo em uma tentativa de derrotar o poderoso Thanos antes que sua explosão de devastação ponha fim ao universo.,"Robert Downey Jr., Chris Hemsworth, Mark Ruffalo"
A Vida dos Outros,2006,8.4,https://www.imdb.com/pt/title/tt0405094/?ref_=chttp_i_61,N/A,"Em 1984, em Berlim Oriental, um agente da polícia secreta que cuida de um escritor e sua mulher se vê cada vez mais absorvido em suas vidas.","Ulrich Mühe, Martina Gedeck, Sebastian Koch"
Crepúsculo dos Deuses,1950,8.4,https://www.imdb.com/pt/title/tt0043014/?ref_=chttp_i_62,N/A,Um roteirista estabelece uma relação com uma fracasada estrela de cinema que quer voltar aos filmes.,"William Holden, Gloria Swanson, Erich von Stroheim"
Homem-Aranha: No Aranhaverso,2018,8.4,https://www.imdb.com/pt/title/tt4633694/?ref_=chttp_i_63,N/A,O adolescente Miles Morales se torna o Homem-Aranha de seu universo e deve se juntar a cinco indivíduos com poderes de aranha de outras dimensões para impedir uma ameaça para todas as realidades.,"Shameik Moore, Jake Johnson, Hailee Steinfeld"
Testemunha de Acusação,1957,8.4,https://www.imdb.com/pt/title/tt0051201/?ref_=chttp_i_64,N/A,Um veterano advogado britânico deve defender seu cliente em um julgamento de assassinato que tem surpresa após surpresa.,"Tyrone Power, Marlene Dietrich, Charles Laughton"
Glória Feita de Sangue,1957,8.4,https://www.imdb.com/pt/title/tt0050825/?ref_=chttp_i_65,N/A,"Depois de se recusar a atacar uma posição inimiga, um general acusa os soldados da covardia e seu comandante deve defendê-los.","Kirk Douglas, Ralph Meeker, Adolphe Menjou"
O Iluminado,1980,8.4,https://www.imdb.com/pt/title/tt0081505/?ref_=chttp_i_66,N/A,"Uma família se dirige a um hotel isolado para o inverno, onde uma presença sinistra influencia a violência do pai, enquanto seu filho psíquico vê presságios horríveis do passado e do futuro.","Jack Nicholson, Shelley Duvall, Danny Lloyd"
O Grande Ditador,1940,8.4,https://www.imdb.com/pt/title/tt0032553/?ref_=chttp_i_67,N/A,O ditador Adenoid Hynkel tenta expandir seu império enquanto um pobre barbeiro judeu tenta evitar a perseguição por seu regime.,"Charles Chaplin, Paulette Goddard, Jack Oakie"
Bastardos Inglórios,2009,8.4,https://www.imdb.com/pt/title/tt0361748/?ref_=chttp_i_68,N/A,"Na França ocupada pelos nazistas durante a Segunda Guerra Mundial, um plano para assassinar líderes nazistas por parte de um grupo de soldados judeus dos EUA coincide com os planos de vingança da dona de uma sala de cinema.","Brad Pitt, Diane Kruger, Eli Roth"
Repetente,2023,8.7,https://www.imdb.com/pt/title/tt23849204/?ref_=chttp_i_69,N/A,A história da vida real do oficial do IPS Manoj Kumar Sharma e do oficial do IRS Shraddha Joshi.,"Vikrant Massey, Medha Shankr, Anant Joshi"
Aliens: O Resgate,1986,8.4,https://www.imdb.com/pt/title/tt0090605/?ref_=chttp_i_70,N/A,Ellen Ripley é salvada depois de estar dormida por 57 anos. A luna que o Nostromo visitou foi colonizada mas o contado se perdeu.,"Sigourney Weaver, Michael Biehn, Carrie Henn"
Batman: O Cavaleiro das Trevas Ressurge,2012,8.4,https://www.imdb.com/pt/title/tt1345836/?ref_=chttp_i_71,N/A,"Passaram-se oito anos desde a morte de Harvey Dent e o Batman, ao assumir a culpa pela morte do promotor, desapareceu. Agora, ele terá de lidar com a chegada da Mulher Gato e de Bane em Gotham City.","Christian Bale, Tom Hardy, Anne Hathaway"
Viva: A Vida é uma Festa,2017,8.4,https://www.imdb.com/pt/title/tt2380307/?ref_=chttp_i_72,N/A,"O aspirante a músico Miguel, confrontado com a proibição ancestral da música pela sua família, entra na Terra dos Mortos para encontrar o seu tataravô, um cantor lendário.","Anthony Gonzalez, Gael García Bernal, Benjamin Bratt"
Amadeus,1984,8.4,https://www.imdb.com/pt/title/tt0086879/?ref_=chttp_i_73,N/A,"A vida, sucessos e tribulações de Wolfgang Amadeus Mozart de acordo com Antonio Salieri, um compositor que era contemporâneo, que sempre teve ciúmes dele e que alegou tê-lo matado.","F. Murray Abraham, Tom Hulce, Elizabeth Berridge"
Vingadores: Ultimato,2019,8.4,https://www.imdb.com/pt/title/tt4154796/?ref_=chttp_i_74,N/A,"Após os eventos devastadores de Vingadores: Guerra Infinita, o universo está em ruínas. E com a ajuda de aliados, os Vingadores se reúnem para desfazer as ações de Thanos e restaurar a ordem.","Robert Downey Jr., Chris Evans, Mark Ruffalo"
Toy Story,1995,8.3,https://www.imdb.com/pt/title/tt0114709/?ref_=chttp_i_75,N/A,"Um boneco cowboy fica ciumento quando um novo boneco astronauta se torna o brinquedo principal no quarto de um menino. Quando as circunstâncias os separam de seu dono, os dois precisam esquecer suas diferenças para voltar para ele.","Tom Hanks, Tim Allen, Don Rickles"
Gênio Indomável,1997,8.3,https://www.imdb.com/pt/title/tt0119217/?ref_=chttp_i_76,N/A,"Will Hunting, um zelador de uma universidade, tem habilidades para a matemática, mas precisa da ajuda de um psicólogo para encontrar seu propósito.","Robin Williams, Matt Damon, Ben Affleck"
Céu e Inferno,1963,8.4,https://www.imdb.com/pt/title/tt0057565/?ref_=chttp_i_77,N/A,Um executivo de uma empresa de calçados torna-se vítima de extorsão quando o filho de seu motorista é sequestrado e retido para resgate.,"Toshirô Mifune, Yutaka Sada, Tatsuya Nakadai"
Dr. Fantástico,1964,8.3,https://www.imdb.com/pt/title/tt0057012/?ref_=chttp_i_78,N/A,Um general alienado provoca um potencial holocausto nuclear que uma sala de guerra cheia de políticos e generais tenta freneticamente parar.,"Peter Sellers, George C. Scott, Sterling Hayden"
Oldboy,2003,8.3,https://www.imdb.com/pt/title/tt0364569/?ref_=chttp_i_79,N/A,"Depois de ter sido raptado e preso por quinze anos, Oh Dae-Su é libertado, e descobre que tem 5 dias para encontrar seu sequestrador.","Choi Min-sik, Yoo Ji-tae, Kang Hye-jeong"
O Barco: Inferno no Mar,1981,8.4,https://www.imdb.com/pt/title/tt0082096/?ref_=chttp_i_80,N/A,"O mundo claustrofóbico de um submarino da Segunda Guerra Mundial, cheio de tédio, sujeira e terror.","Jürgen Prochnow, Herbert Grönemeyer, Klaus Wennemann"
Coração Valente,1995,8.3,https://www.imdb.com/pt/title/tt0112573/?ref_=chttp_i_81,N/A,"Quando sua noiva en segredo é assassinada, William Wallace comença uma revolta contra o rey Eduardo I da Inglaterra.","Mel Gibson, Sophie Marceau, Patrick McGoohan"
Your Name,2016,8.4,https://www.imdb.com/pt/title/tt5311514/?ref_=chttp_i_82,N/A,"Dois estranhos estão ligados de uma maneira bizarra, mais quando uma conexão é formada, a distância será a única coisa que os manterá separados?","Ryûnosuke Kamiki, Mone Kamishiraishi, Ryo Narita"
